-BEGIN HEADER-,,,,,,,,,,,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Climatology Climatologies ,,,,,,,,,,,,,,,
30-year Meteorological and Solar Monthly & Annual Climatologies (January 1990 - December 2019) ,,,,,,,,,,,,,,,
Location: Regional ,,,,,,,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters,,,,,,,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,,,,,
Parameter(s): ,,,,,,,,,,,,,,,
T2M                 MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,,,,,
RH2M                MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,,,,,,,,
PRECTOTCORR         MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,,,,,,,,
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm) ,,,,,,,,,,,,,,,
-END HEADER-,,,,,,,,,,,,,,,
PARAMETER,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,38.75,-87.25,-1.34,0.92,6.2,12.55,18.12,22.72,24.54,24.18,20.43,13.49,6.32,0.88,12.47
T2M,38.75,-87.75,-1.42,0.96,6.3,12.66,18.23,22.84,24.61,24.15,20.42,13.53,6.33,0.86,12.51
T2M,38.75,-88.25,-1.55,0.9,6.31,12.66,18.25,22.9,24.72,24.24,20.45,13.55,6.3,0.8,12.52
T2M,38.75,-88.75,-1.68,0.83,6.28,12.63,18.25,22.94,24.86,24.38,20.5,13.59,6.26,0.73,12.52
T2M,38.75,-89.25,-1.73,0.83,6.32,12.66,18.3,23.03,24.99,24.49,20.52,13.62,6.28,0.7,12.56
T2M,38.75,-89.75,-1.74,0.84,6.37,12.7,18.34,23.13,25.24,24.68,20.59,13.66,6.29,0.66,12.62
T2M,38.75,-90.25,-1.75,0.83,6.39,12.7,18.35,23.22,25.5,24.91,20.67,13.67,6.29,0.63,12.67
T2M,38.75,-90.75,-1.79,0.76,6.34,12.63,18.29,23.24,25.67,25.04,20.66,13.61,6.26,0.58,12.67
T2M,38.75,-91.25,-1.9,0.62,6.2,12.45,18.12,23.11,25.61,24.96,20.48,13.42,6.15,0.49,12.53
T2M,38.75,-91.75,-2.02,0.52,6.14,12.36,18.09,23.22,25.81,25.14,20.55,13.4,6.09,0.38,12.53
T2M,39.25,-87.25,-2.15,0.14,5.5,11.93,17.62,22.3,24.15,23.74,19.99,12.98,5.74,0.21,11.9
T2M,39.25,-87.75,-2.26,0.15,5.6,12.03,17.74,22.45,24.31,23.83,20.04,13.02,5.73,0.18,11.96
T2M,39.25,-88.25,-2.41,0.08,5.6,12.03,17.77,22.53,24.46,23.93,20.07,13.03,5.68,0.1,11.96
T2M,39.25,-88.75,-2.48,0.06,5.61,12.05,17.8,22.52,24.43,23.91,20.06,13.09,5.71,0.07,11.96
T2M,39.25,-89.25,-2.51,0.07,5.68,12.11,17.88,22.63,24.61,24.06,20.12,13.15,5.75,0.05,12.02
T2M,39.25,-89.75,-2.52,0.08,5.76,12.18,17.95,22.78,24.88,24.28,20.22,13.2,5.78,0.03,12.11
T2M,39.25,-90.25,-2.54,0.09,5.82,12.24,18.01,22.93,25.17,24.54,20.33,13.23,5.79,0,12.19
T2M,39.25,-90.75,-2.56,0.04,5.82,12.23,18.01,23.01,25.37,24.73,20.37,13.21,5.77,-0.04,12.22
T2M,39.25,-91.25,-2.64,-0.08,5.72,12.1,17.89,22.93,25.33,24.7,20.22,13.07,5.68,-0.12,12.13
T2M,39.25,-91.75,-2.75,-0.2,5.63,11.98,17.8,22.93,25.38,24.74,20.19,13,5.59,-0.24,12.06
T2M,39.75,-87.25,-2.94,-0.61,4.83,11.3,17.12,21.87,23.73,23.25,19.52,12.48,5.18,-0.42,11.33
T2M,39.75,-87.75,-3.01,-0.6,4.94,11.42,17.26,22.06,23.98,23.46,19.65,12.56,5.19,-0.46,11.43
T2M,39.75,-88.25,-3.14,-0.66,4.96,11.45,17.33,22.17,24.15,23.59,19.68,12.58,5.16,-0.55,11.45
T2M,39.75,-88.75,-3.21,-0.67,4.99,11.49,17.38,22.16,24.07,23.51,19.63,12.62,5.2,-0.58,11.44
T2M,39.75,-89.25,-3.21,-0.62,5.11,11.61,17.51,22.34,24.32,23.73,19.77,12.72,5.28,-0.56,11.56
T2M,39.75,-89.75,-3.21,-0.59,5.21,11.73,17.62,22.53,24.63,23.99,19.91,12.8,5.33,-0.56,11.67
T2M,39.75,-90.25,-3.23,-0.6,5.27,11.79,17.69,22.68,24.89,24.23,20.01,12.83,5.34,-0.58,11.75
T2M,39.75,-90.75,-3.25,-0.64,5.29,11.8,17.7,22.77,25.07,24.39,20.04,12.82,5.32,-0.62,11.78
T2M,39.75,-91.25,-3.26,-0.7,5.29,11.78,17.7,22.81,25.15,24.48,20.01,12.77,5.28,-0.67,11.78
T2M,39.75,-91.75,-3.34,-0.8,5.21,11.67,17.59,22.75,25.12,24.43,19.9,12.66,5.17,-0.79,11.69
T2M,40.25,-87.25,-3.58,-1.26,4.25,10.74,16.7,21.55,23.38,22.8,19.07,12.06,4.75,-0.96,10.85
T2M,40.25,-87.75,-3.66,-1.27,4.35,10.84,16.81,21.68,23.54,22.95,19.16,12.12,4.75,-1.04,10.91
T2M,40.25,-88.25,-3.79,-1.33,4.36,10.87,16.87,21.74,23.65,23.04,19.16,12.13,4.71,-1.15,10.91
T2M,40.25,-88.75,-3.94,-1.41,4.36,10.89,16.91,21.79,23.71,23.07,19.14,12.11,4.68,-1.25,10.9
T2M,40.25,-89.25,-3.93,-1.34,4.5,11.06,17.09,22.02,24.04,23.4,19.36,12.25,4.77,-1.22,11.06
T2M,40.25,-89.75,-3.92,-1.29,4.65,11.23,17.26,22.28,24.42,23.75,19.58,12.37,4.84,-1.18,11.22
T2M,40.25,-90.25,-3.93,-1.3,4.7,11.29,17.32,22.43,24.65,23.95,19.65,12.4,4.84,-1.21,11.29
T2M,40.25,-90.75,-3.97,-1.36,4.69,11.28,17.32,22.49,24.75,24.03,19.63,12.35,4.79,-1.29,11.29
T2M,40.25,-91.25,-3.96,-1.37,4.74,11.34,17.41,22.65,24.97,24.21,19.71,12.37,4.78,-1.33,11.35
T2M,40.25,-91.75,-4.02,-1.47,4.67,11.23,17.3,22.59,24.95,24.17,19.6,12.25,4.65,-1.45,11.27
T2M,40.75,-87.25,-4.1,-1.83,3.71,10.16,16.26,21.28,23.21,22.59,18.82,11.78,4.42,-1.4,10.47
T2M,40.75,-87.75,-4.22,-1.87,3.8,10.26,16.35,21.37,23.31,22.68,18.85,11.79,4.38,-1.52,10.49
T2M,40.75,-88.25,-4.37,-1.93,3.85,10.34,16.44,21.45,23.41,22.75,18.84,11.77,4.34,-1.65,10.49
T2M,40.75,-88.75,-4.55,-2.03,3.83,10.36,16.5,21.51,23.48,22.79,18.8,11.72,4.27,-1.79,10.47
T2M,40.75,-89.25,-4.64,-2.04,3.91,10.49,16.64,21.7,23.77,23.09,18.98,11.78,4.27,-1.86,10.57
T2M,40.75,-89.75,-4.7,-2.06,3.97,10.59,16.75,21.88,24.03,23.34,19.1,11.83,4.26,-1.91,10.65
T2M,40.75,-90.25,-4.73,-2.08,4.01,10.66,16.82,22.02,24.23,23.51,19.16,11.83,4.23,-1.96,10.7
T2M,40.75,-90.75,-4.74,-2.09,4.04,10.7,16.88,22.16,24.4,23.65,19.2,11.83,4.2,-2.02,10.74
T2M,40.75,-91.25,-4.73,-2.09,4.11,10.79,17,22.36,24.65,23.83,19.3,11.88,4.19,-2.06,10.83
T2M,40.75,-91.75,-4.78,-2.18,4.07,10.73,16.95,22.35,24.69,23.8,19.23,11.8,4.08,-2.17,10.78
T2M,41.25,-87.25,-4.28,-2.28,3.08,9.28,15.36,20.67,23.02,22.45,18.62,11.61,4.31,-1.53,10.08
T2M,41.25,-87.75,-4.59,-2.38,3.21,9.49,15.6,20.87,23.14,22.52,18.63,11.55,4.15,-1.8,10.09
T2M,41.25,-88.25,-4.93,-2.51,3.32,9.74,15.91,21.11,23.25,22.57,18.58,11.44,3.96,-2.12,10.08
T2M,41.25,-88.75,-5.15,-2.63,3.31,9.8,16.04,21.22,23.29,22.59,18.52,11.34,3.84,-2.32,10.05
T2M,41.25,-89.25,-5.33,-2.72,3.33,9.9,16.16,21.36,23.45,22.75,18.59,11.33,3.78,-2.46,10.07
T2M,41.25,-89.75,-5.45,-2.8,3.32,9.95,16.24,21.47,23.6,22.89,18.62,11.31,3.7,-2.6,10.08
T2M,41.25,-90.25,-5.51,-2.83,3.35,10.02,16.34,21.62,23.8,23.06,18.69,11.31,3.65,-2.69,10.13
T2M,41.25,-90.75,-5.53,-2.82,3.41,10.12,16.46,21.82,24.03,23.25,18.78,11.34,3.62,-2.74,10.21
T2M,41.25,-91.25,-5.52,-2.81,3.45,10.2,16.55,21.97,24.2,23.36,18.85,11.36,3.58,-2.79,10.26
T2M,41.25,-91.75,-5.61,-2.93,3.4,10.15,16.5,21.96,24.21,23.28,18.77,11.29,3.47,-2.9,10.19
T2M,41.75,-87.25,-3.27,-2.04,2.34,7.57,12.99,18.75,22.27,22.2,18.62,11.93,5.06,-0.45,9.72
T2M,41.75,-87.75,-4.36,-2.6,2.46,8.15,13.93,19.57,22.66,22.3,18.48,11.52,4.35,-1.47,9.64
T2M,41.75,-88.25,-5.63,-3.27,2.58,8.87,15.14,20.6,23.03,22.33,18.21,10.97,3.46,-2.69,9.53
T2M,41.75,-88.75,-5.96,-3.46,2.58,8.98,15.32,20.66,22.84,22.12,17.98,10.76,3.22,-3.01,9.4
T2M,41.75,-89.25,-6.16,-3.57,2.61,9.13,15.52,20.83,22.98,22.24,18.04,10.75,3.15,-3.18,9.42
T2M,41.75,-89.75,-6.26,-3.6,2.67,9.27,15.7,21.03,23.18,22.42,18.13,10.78,3.12,-3.3,9.49
T2M,41.75,-90.25,-6.32,-3.62,2.71,9.38,15.83,21.21,23.37,22.58,18.21,10.79,3.06,-3.42,9.54
T2M,41.75,-90.75,-6.4,-3.66,2.71,9.44,15.9,21.33,23.5,22.68,18.25,10.77,2.97,-3.54,9.56
T2M,41.75,-91.25,-6.45,-3.71,2.69,9.47,15.94,21.4,23.54,22.68,18.25,10.73,2.88,-3.63,9.54
T2M,41.75,-91.75,-6.53,-3.76,2.67,9.48,15.96,21.44,23.57,22.64,18.21,10.69,2.81,-3.71,9.52
T2M,42.25,-87.25,-2.01,-1.45,1.83,5.9,10.4,16.49,21.36,21.94,18.76,12.37,5.91,0.79,9.41
T2M,42.25,-87.75,-3.96,-2.62,1.86,6.81,12.07,18.01,22.01,22.04,18.39,11.56,4.61,-1.03,9.2
T2M,42.25,-88.25,-6.31,-4.03,1.86,7.95,14.25,19.89,22.65,21.99,17.8,10.52,2.99,-3.24,8.92
T2M,42.25,-88.75,-6.83,-4.38,1.79,8.1,14.55,20.01,22.32,21.59,17.4,10.16,2.58,-3.75,8.69
T2M,42.25,-89.25,-7.02,-4.46,1.88,8.32,14.83,20.27,22.49,21.74,17.47,10.18,2.53,-3.94,8.75
T2M,42.25,-89.75,-7.15,-4.53,1.91,8.45,14.99,20.44,22.62,21.85,17.51,10.15,2.44,-4.1,8.78
T2M,42.25,-90.25,-7.24,-4.58,1.93,8.55,15.1,20.58,22.76,21.95,17.56,10.13,2.35,-4.25,8.8
T2M,42.25,-90.75,-7.34,-4.63,1.93,8.63,15.19,20.69,22.86,22,17.6,10.11,2.26,-4.38,8.81
T2M,42.25,-91.25,-7.45,-4.71,1.87,8.64,15.21,20.72,22.81,21.91,17.54,10.02,2.14,-4.51,8.74
T2M,42.25,-91.75,-7.49,-4.68,1.92,8.74,15.33,20.85,22.91,21.95,17.58,10.05,2.12,-4.55,8.79
,,,,,,,,,,,,,,,
RH2M,36.75,-87.25,85.07,84.13,81.93,79.46,80.39,78.78,74.46,68.46,67.15,70.57,77.06,84.43,77.63
RH2M,36.75,-87.75,84.65,83.6,81.33,78.9,79.84,78.27,73.97,67.85,66.6,70.21,76.86,84.11,77.15
RH2M,36.75,-88.25,84.13,82.93,80.66,78.4,79.41,77.88,73.79,67.52,66.19,69.91,76.66,83.75,76.74
RH2M,36.75,-88.75,83.77,82.56,80.7,78.99,80.48,79.36,75.69,68.03,65.74,69.46,76.75,83.71,77.09
RH2M,36.75,-89.25,82.96,81.62,79.82,77.93,79.42,78.33,75.28,68.53,65.95,69.05,76.04,82.92,76.47
RH2M,36.75,-89.75,82.36,80.83,79.12,77.32,79.22,78.31,75.46,69.69,67.03,69.49,76.03,82.51,76.44
RH2M,36.75,-90.25,81.96,80.33,78.58,76.88,79.23,78.44,75.41,70.57,68.26,70.34,76.39,82.37,76.56
RH2M,36.75,-90.75,82.03,80.45,78.53,76.78,79.3,78.39,74.66,70.48,69,71.15,76.92,82.58,76.68
RH2M,36.75,-91.25,83.06,81.72,79.62,77.6,79.82,78.45,73.11,69.04,68.66,71.46,77.56,83.34,76.93
RH2M,36.75,-91.75,84.01,82.61,80.42,78.36,80.25,78.33,71.99,67.86,68.13,71.66,78.16,84.01,77.12
RH2M,37.25,-87.25,84.92,83.9,81.5,79.08,80.17,79.12,75.49,69.32,67.26,70.57,77.12,84.43,77.71
RH2M,37.25,-87.75,84.39,83.21,80.96,78.74,79.98,78.94,75.36,68.93,66.78,70.16,76.88,84.05,77.34
RH2M,37.25,-88.25,83.97,82.63,80.47,78.47,79.92,78.8,75.24,68.63,66.5,69.97,76.81,83.79,77.08
RH2M,37.25,-88.75,83.77,82.34,80.24,78.44,80.12,79.02,75.52,68.65,66.18,69.63,76.79,83.73,77.02
RH2M,37.25,-89.25,83.33,81.73,79.69,77.92,79.76,78.58,75.4,69.15,66.52,69.73,76.6,83.38,76.8
RH2M,37.25,-89.75,83.18,81.5,79.54,77.73,79.76,78.54,75.22,69.68,67.3,70.16,76.81,83.25,76.88
RH2M,37.25,-90.25,83.19,81.58,79.55,77.56,79.65,78.33,74.28,69.61,67.93,70.51,77.05,83.29,76.86
RH2M,37.25,-90.75,83.38,81.93,79.71,77.48,79.48,78.06,72.92,69.02,68.24,70.76,77.29,83.48,76.79
RH2M,37.25,-91.25,83.84,82.5,80.28,77.96,79.79,78.52,72.5,68.62,68.47,71.29,77.8,83.91,77.1
RH2M,37.25,-91.75,84.26,82.8,80.56,78.24,80,78.75,72.48,68.52,68.55,71.61,78.12,84.22,77.31
RH2M,37.75,-87.25,84.55,83.19,80.64,78.44,79.76,79.21,76.49,70.38,67.65,70.69,77.14,84.22,77.68
RH2M,37.75,-87.75,83.98,82.4,80.07,78.11,79.64,79.04,76.38,70.29,67.46,70.28,76.81,83.78,77.34
RH2M,37.75,-88.25,83.7,81.98,79.74,77.89,79.61,78.84,75.92,69.84,67.12,69.96,76.63,83.54,77.05
RH2M,37.75,-88.75,83.59,81.77,79.48,77.66,79.53,78.62,75.66,69.84,67.09,69.91,76.68,83.41,76.92
RH2M,37.75,-89.25,83.31,81.37,79.13,77.41,79.53,78.55,75.66,70.21,67.43,70.2,76.77,83.26,76.89
RH2M,37.75,-89.75,83.28,81.37,79.17,77.37,79.57,78.36,74.84,69.88,67.55,70.28,76.99,83.29,76.82
RH2M,37.75,-90.25,83.41,81.67,79.39,77.28,79.35,77.81,73.06,68.91,67.51,70.17,77.03,83.36,76.56
RH2M,37.75,-90.75,83.55,82.02,79.62,77.16,79.01,77.33,71.37,68.01,67.54,70.13,76.95,83.42,76.32
RH2M,37.75,-91.25,83.55,82.01,79.74,77.3,79.15,78.06,72.03,68.53,68.06,70.68,77.19,83.48,76.62
RH2M,37.75,-91.75,83.79,82.16,79.85,77.33,79.15,78.21,72.05,68.73,68.42,71.16,77.43,83.59,76.8
RH2M,38.25,-87.25,84.51,82.7,79.95,77.89,79.35,79.06,77.03,71.43,68.37,71.07,77.31,84.18,77.72
RH2M,38.25,-87.75,83.85,81.77,79.21,77.37,79.05,78.81,77.05,71.84,68.62,70.82,76.95,83.62,77.4
RH2M,38.25,-88.25,83.54,81.36,78.81,77.02,78.85,78.47,76.37,71.26,68.21,70.38,76.66,83.28,77.01
RH2M,38.25,-88.75,83.44,81.2,78.62,76.82,78.77,78.26,75.85,70.89,67.94,70.18,76.64,83.08,76.8
RH2M,38.25,-89.25,83.2,80.92,78.4,76.65,78.82,78.23,75.68,70.97,68.09,70.29,76.66,82.89,76.72
RH2M,38.25,-89.75,82.96,80.73,78.22,76.41,78.69,77.9,74.56,70.25,67.87,70.21,76.76,82.83,76.44
RH2M,38.25,-90.25,82.84,80.74,78.16,76.17,78.45,77.41,73.01,69.26,67.58,70.11,76.74,82.8,76.09
RH2M,38.25,-90.75,82.88,80.91,78.26,76.06,78.25,77.07,71.79,68.56,67.52,70.18,76.68,82.8,75.89
RH2M,38.25,-91.25,83.08,81.15,78.52,76.22,78.35,77.38,71.87,68.79,67.96,70.76,76.92,82.86,76.13
RH2M,38.25,-91.75,83.68,81.8,79.04,76.54,78.33,76.91,70.92,68.2,67.89,71.09,77.3,83.23,76.22
RH2M,38.75,-87.25,84.98,82.83,79.78,77.68,79.16,79.01,77.28,72.26,69.12,71.72,77.8,84.5,77.99
RH2M,38.75,-87.75,84.35,81.94,79,77.08,78.76,78.86,77.48,73.01,69.54,71.59,77.45,83.86,77.73
RH2M,38.75,-88.25,84.07,81.58,78.58,76.67,78.47,78.55,76.89,72.53,69.17,71.13,77.16,83.49,77.35
RH2M,38.75,-88.75,83.78,81.28,78.23,76.27,78.22,78.22,76.11,71.78,68.61,70.6,76.91,83.11,76.92
RH2M,38.75,-89.25,83.51,80.99,77.98,76.04,78.18,78.1,75.77,71.71,68.66,70.56,76.85,82.9,76.76
RH2M,38.75,-89.75,83.14,80.62,77.59,75.66,77.97,77.71,74.69,71.03,68.4,70.51,76.88,82.76,76.4
RH2M,38.75,-90.25,82.89,80.39,77.33,75.36,77.77,77.25,73.34,70.07,68.04,70.56,76.97,82.72,76.04
RH2M,38.75,-90.75,82.9,80.48,77.36,75.29,77.7,76.92,72.27,69.28,67.87,70.83,77.13,82.77,75.88
RH2M,38.75,-91.25,83.22,80.97,77.78,75.57,77.88,77,72.09,69.23,68.31,71.43,77.44,82.91,76.14
RH2M,38.75,-91.75,83.86,81.74,78.43,76.02,77.86,76.23,70.86,68.1,67.76,71.38,77.67,83.33,76.08
RH2M,39.25,-87.25,85.55,83.11,79.7,77.48,78.95,79.04,77.23,72.59,69.35,72.19,78.35,84.84,78.19
RH2M,39.25,-87.75,85.08,82.42,78.97,76.8,78.42,78.57,76.76,72.62,69.25,71.92,78.11,84.34,77.76
RH2M,39.25,-88.25,84.88,82.12,78.53,76.26,77.96,77.99,75.82,71.97,68.8,71.4,77.86,84.06,77.29
RH2M,39.25,-88.75,84.38,81.7,78.18,75.93,77.85,78.3,76.38,72.44,68.89,70.85,77.27,83.44,77.12
RH2M,39.25,-89.25,84.03,81.36,77.82,75.56,77.66,78.08,75.79,72.15,68.8,70.69,77.09,83.21,76.84
RH2M,39.25,-89.75,83.61,80.89,77.31,75.07,77.37,77.59,74.67,71.41,68.48,70.63,77.05,83.01,76.41
RH2M,39.25,-90.25,83.25,80.52,76.91,74.69,77.13,77.08,73.44,70.46,68.11,70.73,77.13,82.88,76.01
RH2M,39.25,-90.75,83.06,80.4,76.8,74.55,77.09,76.77,72.58,69.69,67.99,71.02,77.3,82.84,75.82
RH2M,39.25,-91.25,83.06,80.64,77.06,74.75,77.28,76.89,72.65,69.69,68.45,71.52,77.52,82.9,76.02
RH2M,39.25,-91.75,83.37,81.04,77.44,75.08,77.36,76.56,72.16,69.17,68.29,71.56,77.65,83.14,76.05
RH2M,39.75,-87.25,85.9,83.18,79.44,77.01,78.38,78.84,77.28,73.31,69.81,72.56,78.76,85.01,78.28
RH2M,39.75,-87.75,85.49,82.63,78.75,76.27,77.76,78.12,76.29,72.58,69.28,72.07,78.49,84.67,77.69
RH2M,39.75,-88.25,85.26,82.35,78.29,75.67,77.23,77.47,75.31,71.91,68.9,71.54,78.2,84.47,77.2
RH2M,39.75,-88.75,84.81,82.01,78.01,75.44,77.17,77.98,76.34,72.89,69.35,71.18,77.58,83.92,77.21
RH2M,39.75,-89.25,84.43,81.64,77.65,75.05,76.99,77.73,75.6,72.36,69.04,70.96,77.32,83.63,76.85
RH2M,39.75,-89.75,83.97,81.14,77.12,74.52,76.67,77.18,74.42,71.5,68.58,70.84,77.2,83.31,76.36
RH2M,39.75,-90.25,83.55,80.72,76.66,74.08,76.44,76.67,73.37,70.63,68.22,70.85,77.19,83.08,75.94
RH2M,39.75,-90.75,83.21,80.46,76.42,73.87,76.36,76.39,72.73,70.01,68.12,71.04,77.26,82.97,75.72
RH2M,39.75,-91.25,82.93,80.38,76.4,73.84,76.38,76.33,72.57,69.82,68.36,71.39,77.4,82.95,75.72
RH2M,39.75,-91.75,82.91,80.42,76.53,74.03,76.6,76.51,72.76,69.97,68.72,71.64,77.56,83.07,75.88
RH2M,40.25,-87.25,86.02,83.14,79.14,76.41,77.48,78.31,77.45,74.37,70.79,73.03,79.09,85.17,78.35
RH2M,40.25,-87.75,85.65,82.72,78.58,75.83,77.04,77.92,76.97,73.94,70.5,72.6,78.74,84.93,77.94
RH2M,40.25,-88.25,85.44,82.51,78.22,75.35,76.68,77.6,76.49,73.59,70.31,72.16,78.38,84.78,77.61
